Time(sec)	Temp(C)	DTA(uV)	TGA(mg)
425.000000	92.373795	-1.048000	2.169498
426.000000	92.654396	-1.049000	2.171200
427.000000	92.709900	-1.050000	2.173000
428.000000	92.931000	-1.051000	2.175301
429.000000	93.184700	-1.051000	2.177498
430.000000	93.163994	-1.051000	2.178497
431.000000	93.433296	-1.051000	2.178398
432.000000	93.652298	-1.052000	2.179897
433.000000	93.663795	-1.052000	2.180500
434.000000	93.903595	-1.054000	2.180599
435.000000	94.063599	-1.055000	2.178898
436.000000	94.203995	-1.057000	2.176498
437.000000	94.490799	-1.059000	2.174698
438.000000	94.504700	-1.062000	2.170799
439.000000	94.671700	-1.064000	2.165798
440.000000	94.982597	-1.065000	2.162800
441.000000	94.999001	-1.067000	2.161499
442.000000	95.215500	-1.067000	2.161697
443.000000	95.406296	-1.067000	2.160698
444.000000	95.469894	-1.065000	2.160797
445.000000	95.765594	-1.063000	2.162800
446.000000	95.859100	-1.061000	2.163998
447.000000	95.950600	-1.059000	2.164898
448.000000	96.269295	-1.058000	2.165897
449.000000	96.326294	-1.057000	2.166599
450.000000	96.523598	-1.057000	2.166298
451.000000	96.740700	-1.056000	2.163898
452.000000	96.752296	-1.056000	2.162197
453.000000	97.054794	-1.056000	2.161301
454.000000	97.261200	-1.056000	2.160297
455.000000	97.260597	-1.055000	2.159500
456.000000	97.521095	-1.056000	2.159298
457.000000	97.669899	-1.056000	2.160500
458.000000	97.819595	-1.058000	2.161598
459.000000	98.078400	-1.060000	2.161301
460.000000	98.081894	-1.062000	2.159397
461.000000	98.312500	-1.066000	2.158897
462.000000	98.609100	-1.069000	2.159599
463.000000	98.597099	-1.072000	2.160999
464.000000	98.810097	-1.073000	2.162598
465.000000	99.019295	-1.075000	2.164600
466.000000	99.092697	-1.077000	2.167900
467.000000	99.401398	-1.078000	2.170799
468.000000	99.437698	-1.078000	2.172298
469.000000	99.589996	-1.078000	2.173500
470.000000	99.902397	-1.077000	2.174099
471.000000	99.946396	-1.076000	2.174400
472.000000	100.130898	-1.073000	2.175301
473.000000	100.355095	-1.071000	2.174698
474.000000	100.381798	-1.068000	2.174400
475.000000	100.673401	-1.065000	2.174599
476.000000	100.827995	-1.062000	2.175098
477.000000	100.871895	-1.059000	2.176399
478.000000	101.177696	-1.057000	2.176098
479.000000	101.278694	-1.055000	2.176598
480.000000	101.430298	-1.053000	2.177700
481.000000	101.671997	-1.051000	2.177998
482.000000	101.696098	-1.049000	2.178799
483.000000	101.948997	-1.049000	2.178299
484.000000	102.210396	-1.048000	2.179199
485.000000	102.172096	-1.049000	2.180298
486.000000	102.435799	-1.053000	2.180698
487.000000	102.634499	-1.060000	2.180599
488.000000	102.718895	-1.069000	2.179100
489.000000	102.994598	-1.079000	2.177399
490.000000	103.014198	-1.091000	2.175499
491.000000	103.200500	-1.104000	2.174500
492.000000	103.481499	-1.115000	2.174000
493.000000	103.518494	-1.127000	2.174297
494.000000	103.700897	-1.137000	2.175400
495.000000	103.953598	-1.146000	2.175400
496.000000	104.005699	-1.155000	2.175598
497.000000	104.282295	-1.162000	2.174500
498.000000	104.394997	-1.169000	2.172798
499.000000	104.471794	-1.174000	2.171799
500.000000	104.770294	-1.178000	2.171497
501.000000	104.868797	-1.180000	2.172199
502.000000	104.992699	-1.180000	2.173698
503.000000	105.249100	-1.181000	2.175499
504.000000	105.294395	-1.179000	2.177998
505.000000	105.551697	-1.178000	2.178997
506.000000	105.784294	-1.176000	2.177399
507.000000	105.748398	-1.174000	2.174400
508.000000	106.057999	-1.172000	2.172199
509.000000	106.192894	-1.169000	2.171799
510.000000	106.342094	-1.167000	2.171101
511.000000	106.582298	-1.166000	2.169598
512.000000	106.630096	-1.164000	2.169197
513.000000	106.845894	-1.164000	2.169998
514.000000	107.118896	-1.164000	2.170399
515.000000	107.094894	-1.164000	2.168800
516.000000	107.314896	-1.165000	2.166100
517.000000	107.589294	-1.165000	2.163498
518.000000	107.624001	-1.167000	2.161999
519.000000	107.911896	-1.169000	2.161697
520.000000	107.994698	-1.171000	2.161198
521.000000	108.126099	-1.174000	2.162098
522.000000	108.439995	-1.177000	2.164299
523.000000	108.484299	-1.180000	2.166100
524.000000	108.621696	-1.182000	2.167297
525.000000	108.915497	-1.185000	2.168098
526.000000	108.944000	-1.185000	2.169899
527.000000	109.218201	-1.184000	2.172398
528.000000	109.372101	-1.183000	2.174099
